date,open,high,low,close,volume
2009-02-19,1.2556,1.276,1.25275,1.2682,573398
2009-02-20,1.2682,1.2879,1.25565,1.28192,681756
2009-02-21,1.28192,1.2854,1.2809,1.2825,73880
2009-02-23,1.2804,1.29915,1.2713,1.273,979902
2009-02-24,1.273,1.28535,1.2662,1.28475,979212
2009-02-25,1.28475,1.28985,1.26895,1.2757,1144750
2009-02-26,1.2757,1.28105,1.2682,1.2776,696373
2009-02-27,1.2776,1.27825,1.2604,1.2702,706715
2009-02-28,1.2703,1.27125,1.2656,1.2665,47940
2009-03-02,1.26295,1.26368,1.25455,1.2591,779403
2009-03-03,1.25905,1.26775,1.2521,1.2568,867341
2009-03-04,1.25675,1.26395,1.2456,1.2606,888335
2009-03-05,1.2606,1.2663,1.24805,1.2558,713505
2009-03-06,1.2558,1.27505,1.2527,1.26645,829375
2009-03-07,1.2665,1.26855,1.2601,1.26485,53986
2009-03-09,1.26488,1.27265,1.25555,1.26285,1014631
2009-03-10,1.26285,1.28215,1.25795,1.26365,1039392
2009-03-11,1.26365,1.2815,1.2616,1.28025,1046530
2009-03-12,1.28025,1.2877,1.27315,1.28605,1020399
2009-03-13,1.2861,1.2957,1.286,1.2898,888870
2009-03-14,1.2898,1.29295,1.2893,1.2928,38106
2009-03-16,1.28791,1.3071,1.28375,1.29805,1068752
2009-03-17,1.29805,1.30325,1.293,1.3003,758722
2009-03-18,1.3003,1.3438,1.2986,1.34217,938789
2009-03-19,1.34225,1.37375,1.34165,1.3661,1041891
2009-03-20,1.3661,1.3726,1.3517,1.3552,828830
2009-03-21,1.3552,1.35815,1.3546,1.35795,50128
2009-03-23,1.362,1.3736,1.3485,1.3628,720995
2009-03-24,1.3628,1.3678,1.34805,1.3519,1068869
2009-03-25,1.35187,1.36465,1.3418,1.3562,856350
2009-03-26,1.3562,1.36385,1.3501,1.35105,928886
2009-03-27,1.3512,1.3591,1.32565,1.3302,702860
2009-03-28,1.3302,1.3306,1.32835,1.3287,31726
2009-03-30,1.32282,1.32845,1.3116,1.3162,658057
2009-03-31,1.3161,1.33425,1.316,1.3282,749172
2009-04-01,1.32835,1.3298,1.31665,1.32315,699197
2009-04-02,1.3233,1.3517,1.3219,1.3444,675904
2009-04-03,1.3444,1.3495,1.3365,1.34855,623017
2009-04-04,1.34855,1.3493,1.3465,1.34835,21445
2009-04-06,1.34955,1.35815,1.3358,1.3393,604338
2009-04-07,1.3393,1.3426,1.32265,1.3254,664908
2009-04-08,1.3254,1.33075,1.3148,1.3233,734096
2009-04-09,1.32335,1.33355,1.3126,1.316,594032
2009-04-10,1.3161,1.3169,1.3092,1.31565,205529
2009-04-11,1.31565,1.31875,1.3151,1.31845,10203
