,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-18 17:30:00,152.034,152.055,151.981,152.02,1274.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:35:00,152.019,152.019,151.967,151.976,1050.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:40:00,151.978,151.983,151.889,151.957,1577.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:45:00,151.958,152.041,151.931,152.041,1007.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:50:00,152.047,152.12,152.046,152.103,830.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 17:55:00,152.103,152.184,152.082,152.137,1048.0,,,,,,,,,,,152.06045216571533,0.2574285714285744,152.06045216571533,151.80302359428677,152.3178807371439,152.06045216571533,False,False
2021-03-18 18:00:00,152.136,152.169,152.119,152.123,1003.0,152.136,152.169,151.748,151.775,12693.0,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:05:00,152.123,152.135,152.059,152.062,919.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:10:00,152.062,152.092,151.996,151.996,1111.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:15:00,151.998,152.0,151.931,151.942,1121.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:20:00,151.938,152.016,151.937,152.004,947.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:25:00,152.006,152.03,151.997,152.016,677.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:30:00,152.015,152.038,151.974,151.98,1172.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:35:00,151.981,151.994,151.942,151.944,848.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:40:00,151.945,151.96,151.885,151.887,1304.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:45:00,151.887,151.89,151.78,151.799,1400.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:50:00,151.798,151.843,151.776,151.823,1209.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 18:55:00,151.823,151.825,151.748,151.775,982.0,,,,,,,,,,,152.03326624517103,0.2730000000000042,152.03326624517103,151.76026624517104,152.30626624517103,152.03326624517103,False,False
2021-03-18 19:00:00,151.774,151.826,151.721,151.82,1508.0,151.774,151.984,151.721,151.877,13608.0,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
2021-03-18 19:05:00,151.82,151.854,151.758,151.849,1306.0,,,,,,,,,,,152.01838374563096,0.2837142857142883,152.01838374563096,151.73466945991666,152.30209803134525,152.01838374563096,False,False
