,mopen,mhigh,mlow,mclose,mvolume,hopen,hhigh,hlow,hclose,hvolume,dopen,dhigh,dlow,dclose,dvolume,ema_20_1h_c,atr_14_1h,ematrTopBuy,ematrBottomBuy,ematrTopSell,ematrBottomSell,leaveBuyZone,leaveSellZone
2021-03-23 02:15:00,1.19343,1.19356,1.19336,1.19356,16.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:20:00,1.19343,1.19363,1.19319,1.19353,33.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:25:00,1.19342,1.19349,1.19334,1.19348,266.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:30:00,1.19348,1.19349,1.19347,1.19347,40.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:35:00,1.19348,1.19348,1.19343,1.19347,127.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:40:00,1.19347,1.19348,1.19325,1.19348,131.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:45:00,1.19348,1.19349,1.19321,1.19344,71.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:50:00,1.19328,1.19348,1.19327,1.19348,296.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 02:55:00,1.19328,1.19351,1.19324,1.19348,55.0,,,,,,,,,,,1.1921053942776485,0.0013207142857142,1.1921053942776485,1.1907846799919344,1.1934261085633626,1.1921053942776485,False,False
2021-03-23 03:00:00,1.19348,1.19356,1.1933,1.19337,186.0,1.19348,1.19356,1.19316,1.19335,907.0,,,,,,1.1922239281559677,0.0011328571428571,1.1922239281559677,1.1910910710131106,1.1933567852988247,1.1922239281559677,False,False
